epoch,loss,accuracy
111,1.255210,0.707031
112,1.232231,0.726562
113,1.214024,0.726562
114,1.215916,0.761719
115,1.208661,0.761719
116,1.189678,0.757812
117,1.166264,0.781250
118,1.164008,0.785156
119,1.151522,0.789062
120,1.149748,0.792969
121,1.137607,0.792969
122,1.157805,0.796875
123,1.108417,0.796875
124,1.104382,0.808594
125,1.095510,0.812500
126,1.085694,0.824219
127,1.080065,0.812500
128,1.070370,0.835938
129,1.055511,0.824219
130,1.075624,0.835938
131,1.041303,0.843750
132,1.050327,0.839844
133,1.027436,0.847656
134,1.018847,0.847656
135,1.011060,0.847656
136,1.008859,0.839844
137,0.996912,0.851562
138,0.986109,0.851562
139,0.979302,0.851562
140,0.976216,0.851562
141,0.969902,0.851562
142,0.963685,0.855469
143,0.957896,0.847656
144,0.958832,0.847656
145,0.940250,0.851562
146,0.933347,0.851562
147,0.927035,0.855469
148,0.925448,0.851562
149,0.913217,0.851562
150,0.916917,0.851562
151,0.904725,0.859375
152,0.899783,0.859375
153,0.911069,0.855469
154,0.890185,0.863281
155,0.874290,0.855469
156,0.877395,0.863281
157,0.880065,0.863281
158,0.858361,0.863281
159,0.858904,0.867188
160,0.861062,0.863281
161,0.854644,0.867188
162,0.852055,0.867188
163,0.842934,0.867188
164,0.841848,0.867188
165,0.827303,0.867188
166,0.830045,0.871094
167,0.833203,0.871094
168,0.819665,0.863281
169,0.813177,0.871094
170,0.813941,0.859375
171,0.799703,0.871094
172,0.798809,0.871094
173,0.819901,0.871094
174,0.788899,0.875000
175,0.842853,0.875000
176,0.788826,0.875000
177,0.775382,0.875000
178,0.796818,0.875000
179,0.777104,0.875000
180,0.770548,0.875000
181,0.769798,0.875000
182,0.763630,0.875000
183,0.771081,0.875000
184,0.754886,0.875000
185,0.758006,0.875000
186,0.744345,0.875000
187,0.741499,0.875000
188,0.747204,0.875000
189,0.748765,0.875000
190,0.732146,0.875000
191,0.740843,0.875000
192,0.726819,0.875000
193,0.735922,0.875000
194,0.721029,0.875000
195,0.732313,0.875000
196,0.714788,0.875000
197,0.721864,0.875000
198,0.718428,0.878906
199,0.706111,0.875000
200,0.706937,0.875000
201,0.702256,0.875000
202,0.760099,0.875000
203,0.724792,0.878906
204,0.698023,0.875000
205,0.697254,0.875000
206,0.693707,0.875000
207,0.700963,0.875000
208,0.682079,0.875000
209,0.707301,0.875000
210,0.684566,0.875000
211,0.673202,0.875000
212,0.684567,0.875000
213,0.670279,0.875000
214,0.682409,0.875000
215,0.669270,0.875000
216,0.673232,0.875000
217,0.670895,0.875000
218,0.675067,0.875000
219,0.677057,0.875000
220,0.661495,0.875000
221,0.660456,0.875000
222,0.659058,0.875000
223,0.655173,0.875000
224,0.649610,0.875000
225,0.646477,0.875000
226,0.665525,0.875000
227,0.664911,0.875000
228,0.648672,0.875000
229,0.652730,0.875000
230,0.653352,0.875000
231,0.637921,0.875000
232,0.643910,0.875000
233,0.644038,0.875000
234,0.644412,0.875000
235,0.635704,0.875000
236,0.651529,0.875000
237,0.627678,0.875000
238,0.625876,0.875000
239,0.630031,0.875000
240,0.633240,0.875000
241,0.620465,0.875000
242,0.621368,0.875000
243,0.617428,0.875000
244,0.628821,0.875000
245,0.639082,0.878906
246,0.618628,0.875000
247,0.609294,0.875000
248,0.619227,0.875000
249,0.607528,0.875000
250,0.607550,0.875000
251,0.603309,0.875000
252,0.611438,0.875000
253,0.599119,0.875000
254,0.619093,0.875000
255,0.601281,0.875000
256,0.600275,0.875000
257,0.598304,0.875000
258,0.611246,0.875000
259,0.599046,0.875000
260,0.595096,0.875000
261,0.603646,0.875000
262,0.588421,0.878906
263,0.586212,0.875000
264,0.588382,0.878906
265,0.600696,0.875000
266,0.589051,0.875000
267,0.580607,0.875000
268,0.592886,0.875000
269,0.582332,0.875000
270,0.591029,0.875000
271,0.580204,0.875000
272,0.629814,0.875000
273,0.592558,0.875000
274,0.576083,0.875000
275,0.569009,0.875000
276,0.588828,0.875000
277,0.571305,0.875000
278,0.574517,0.875000
279,0.568652,0.875000
280,0.564820,0.875000
281,0.565294,0.875000
282,0.562435,0.875000
283,0.562246,0.875000
284,0.558799,0.875000
285,0.556957,0.875000
286,0.558012,0.875000
287,0.558246,0.875000
288,0.563280,0.875000
289,0.554350,0.875000
290,0.554906,0.875000
291,0.550874,0.875000
292,0.553534,0.875000
293,0.562586,0.875000
294,0.551547,0.875000
295,0.554614,0.875000
296,0.551415,0.875000
297,0.540552,0.875000
298,0.547361,0.875000
299,0.541617,0.875000
300,0.541202,0.875000
301,0.540437,0.875000
302,0.540957,0.875000
303,0.553472,0.875000
304,0.537196,0.875000
305,0.532869,0.875000
306,0.538337,0.875000
307,0.532579,0.875000
308,0.534912,0.875000
309,0.533540,0.875000
310,0.539852,0.875000
311,0.536856,0.875000
312,0.541165,0.875000
313,0.526422,0.875000
314,0.525205,0.875000
315,0.534271,0.875000
316,0.536308,0.875000
317,0.526678,0.875000
318,0.596434,0.875000
319,0.521227,0.875000
320,0.517968,0.875000
321,0.524364,0.875000
322,0.516212,0.875000
323,0.518370,0.875000
324,0.529484,0.875000
325,0.513601,0.875000
326,0.514160,0.875000
327,0.509906,0.875000
328,0.515778,0.875000
329,0.511568,0.875000
330,0.505933,0.875000
331,0.522591,0.875000
332,0.509656,0.875000
333,0.507799,0.875000
334,0.514529,0.875000
335,0.502617,0.875000
336,0.510073,0.875000
337,0.500133,0.875000
338,0.499047,0.875000
339,0.496724,0.875000
340,0.499274,0.875000
341,0.493089,0.875000
342,0.500095,0.875000
343,0.491878,0.875000
344,0.499962,0.875000
345,0.493139,0.875000
346,0.489230,0.875000
347,0.491804,0.875000
348,0.491091,0.875000
349,0.484968,0.875000
350,0.496164,0.882812
351,0.487738,0.878906
352,0.481670,0.875000
353,0.487169,0.875000
354,0.479839,0.875000
355,0.480291,0.875000
356,0.482916,0.878906
357,0.491002,0.878906
358,0.477746,0.878906
359,0.474389,0.878906
360,0.475117,0.878906
361,0.474115,0.875000
362,0.479119,0.875000
363,0.472171,0.882812
364,0.469088,0.875000
365,0.467326,0.875000
366,0.464595,0.882812
367,0.462663,0.875000
368,0.463094,0.875000
369,0.460710,0.882812
370,0.459868,0.882812
371,0.463453,0.878906
372,0.460424,0.882812
373,0.454877,0.878906
374,0.455355,0.882812
375,0.455422,0.878906
376,0.454006,0.882812
377,0.448766,0.886719
378,0.447865,0.878906
379,0.445444,0.890625
380,0.443519,0.890625
381,0.449706,0.890625
382,0.444114,0.882812
383,0.439946,0.882812
384,0.438152,0.886719
385,0.435117,0.894531
386,0.438247,0.882812
387,0.434050,0.890625
388,0.431107,0.886719
389,0.430302,0.894531
390,0.429096,0.890625
391,0.424667,0.890625
392,0.426557,0.898438
393,0.427294,0.894531
394,0.421524,0.898438
395,0.417859,0.898438
396,0.414862,0.890625
397,0.415544,0.894531
398,0.411470,0.906250
399,0.409462,0.886719
400,0.407700,0.890625
401,0.405828,0.902344
402,0.402286,0.902344
403,0.401219,0.902344
404,0.401773,0.910156
405,0.398116,0.914062
406,0.401135,0.902344
407,0.393040,0.914062
408,0.390287,0.910156
409,0.388152,0.917969
410,0.387783,0.925781
411,0.388419,0.921875
412,0.384771,0.929688
413,0.382007,0.917969
414,0.389747,0.917969
415,0.377545,0.917969
416,0.377305,0.929688
417,0.375703,0.906250
418,0.371437,0.929688
419,0.378219,0.921875
420,0.368980,0.933594
421,0.374243,0.921875
422,0.363357,0.929688
423,0.362970,0.953125
424,0.361240,0.941406
425,0.359682,0.945312
426,0.359125,0.941406
427,0.357677,0.929688
428,0.355212,0.960938
429,0.350993,0.960938
430,0.353277,0.957031
431,0.351996,0.953125
432,0.346701,0.957031
433,0.346531,0.957031
434,0.343176,0.960938
435,0.347523,0.957031
436,0.346059,0.949219
437,0.342143,0.976562
438,0.337428,0.976562
439,0.335566,0.972656
440,0.333271,0.972656
441,0.339129,0.968750
442,0.330741,0.976562
443,0.331892,0.988281
444,0.330225,0.957031
445,0.327139,0.984375
446,0.335840,0.953125
447,0.323412,1.000000
448,0.322059,0.992188
449,0.320436,0.968750
450,0.317691,0.984375
451,0.316912,0.996094
452,0.315481,0.972656
453,0.319532,0.964844
454,0.314266,0.972656
455,0.310478,0.988281
456,0.309527,0.984375
457,0.308098,0.996094
458,0.307393,0.992188
459,0.306142,0.992188
460,0.304910,0.988281
461,0.302226,0.992188
462,0.303534,0.996094
463,0.300887,0.988281
464,0.299925,0.984375
465,0.297734,0.996094
466,0.298061,0.976562
467,0.296133,0.980469
468,0.293128,0.988281
469,0.295011,0.984375
470,0.292337,0.976562
471,0.294070,0.976562
472,0.290845,0.976562
473,0.288007,1.000000
474,0.286787,0.992188
475,0.284590,1.000000
476,0.291140,0.972656
477,0.285923,0.976562
478,0.280794,0.992188
479,0.280189,0.996094
480,0.277914,1.000000
481,0.276554,1.000000
482,0.278914,1.000000
483,0.276669,0.996094
484,0.275216,0.992188
485,0.276572,1.000000
486,0.275675,0.996094
487,0.270290,1.000000
488,0.269905,1.000000
489,0.267282,1.000000
490,0.291098,0.968750
491,0.266412,1.000000
492,0.265506,1.000000
493,0.267262,1.000000
494,0.268968,0.976562
495,0.261333,1.000000
496,0.262231,1.000000
497,0.264035,1.000000
498,0.258368,1.000000
499,0.259047,1.000000
500,0.255323,1.000000
501,0.261163,0.980469
502,0.254280,1.000000
503,0.258106,0.988281
504,0.252307,1.000000
505,0.251045,1.000000
506,0.250036,1.000000
507,0.249683,1.000000
508,0.249034,1.000000
509,0.248918,1.000000
510,0.246116,1.000000
511,0.246025,1.000000
512,0.245798,1.000000
513,0.244316,1.000000
514,0.242143,1.000000
515,0.242452,1.000000
516,0.240904,1.000000
517,0.240323,1.000000
518,0.238718,1.000000
519,0.237924,1.000000
520,0.239948,1.000000
521,0.236885,1.000000
522,0.236611,1.000000
523,0.234133,1.000000
524,0.233659,1.000000
525,0.233111,1.000000
526,0.232457,1.000000
527,0.231273,1.000000
528,0.230087,1.000000
529,0.231949,1.000000
530,0.228761,1.000000
531,0.227752,1.000000
532,0.227858,1.000000
533,0.231316,1.000000
534,0.225459,1.000000
535,0.225082,1.000000
536,0.224516,1.000000
537,0.222738,1.000000
538,0.222343,1.000000
539,0.223464,1.000000
540,0.220340,1.000000
541,0.219545,1.000000
542,0.219771,1.000000
543,0.219072,1.000000
544,0.217461,1.000000
545,0.217848,1.000000
546,0.218710,1.000000
547,0.215771,1.000000
548,0.214385,1.000000
549,0.213763,1.000000
550,0.212765,1.000000
551,0.214800,1.000000
552,0.212474,1.000000
553,0.212257,1.000000
554,0.211555,1.000000
555,0.209324,1.000000
556,0.209562,1.000000
557,0.208097,1.000000
558,0.208148,1.000000
559,0.207164,1.000000
560,0.207010,1.000000
561,0.205771,1.000000
562,0.206037,1.000000
563,0.205678,1.000000
564,0.203453,1.000000
565,0.203030,1.000000
566,0.203141,1.000000
567,0.202095,1.000000
568,0.200545,1.000000
569,0.201479,1.000000
570,0.199892,1.000000
571,0.198955,1.000000
572,0.198887,1.000000
573,0.198356,1.000000
574,0.198394,1.000000
575,0.196656,1.000000
576,0.195699,1.000000
577,0.195518,1.000000
578,0.195188,1.000000
579,0.194524,1.000000
580,0.194627,1.000000
581,0.193107,1.000000
582,0.192507,1.000000
583,0.191451,1.000000
584,0.191453,1.000000
585,0.194338,1.000000
586,0.190658,1.000000
587,0.189611,1.000000
588,0.189005,1.000000
589,0.188197,1.000000
590,0.188352,1.000000
591,0.187133,1.000000
592,0.186532,1.000000
593,0.186029,1.000000
594,0.186117,1.000000
595,0.185647,1.000000
596,0.184903,1.000000
597,0.184387,1.000000
598,0.183710,1.000000
599,0.183463,1.000000
600,0.182555,1.000000
601,0.183102,1.000000
602,0.182317,1.000000
603,0.181216,1.000000
604,0.180503,1.000000
605,0.179933,1.000000
606,0.179442,1.000000
607,0.178836,1.000000
608,0.178607,1.000000
609,0.178119,1.000000
610,0.177513,1.000000
611,0.177510,1.000000
612,0.176552,1.000000
613,0.176824,1.000000
614,0.176393,1.000000
615,0.175313,1.000000
616,0.174501,1.000000
617,0.174239,1.000000
618,0.174502,1.000000
619,0.173802,1.000000
620,0.173444,1.000000
621,0.172495,1.000000
622,0.172312,1.000000
623,0.171420,1.000000
624,0.171130,1.000000
625,0.170804,1.000000
626,0.170436,1.000000
627,0.169997,1.000000
628,0.169576,1.000000
629,0.169255,1.000000
630,0.168569,1.000000
631,0.168391,1.000000
632,0.167763,1.000000
633,0.167576,1.000000
634,0.167188,1.000000
635,0.166885,1.000000
636,0.166054,1.000000
637,0.166210,1.000000
638,0.165894,1.000000
639,0.165728,1.000000
640,0.164700,1.000000
641,0.164285,1.000000
642,0.164206,1.000000
643,0.163780,1.000000
644,0.163105,1.000000
645,0.162635,1.000000
646,0.162432,1.000000
647,0.162017,1.000000
648,0.161826,1.000000
649,0.161696,1.000000
650,0.161211,1.000000
651,0.160613,1.000000
652,0.160395,1.000000
653,0.159983,1.000000
654,0.160211,1.000000
655,0.159344,1.000000
656,0.159168,1.000000
657,0.158611,1.000000
658,0.158321,1.000000
659,0.157820,1.000000
660,0.157632,1.000000
661,0.157230,1.000000
662,0.157428,1.000000
663,0.157172,1.000000
664,0.156378,1.000000
665,0.156159,1.000000
666,0.155631,1.000000
667,0.155410,1.000000
668,0.155114,1.000000
669,0.154894,1.000000
670,0.154291,1.000000
671,0.154162,1.000000
672,0.153915,1.000000
673,0.153618,1.000000
674,0.153054,1.000000
675,0.152718,1.000000
676,0.152474,1.000000
677,0.152513,1.000000
678,0.152218,1.000000
679,0.151776,1.000000
680,0.151397,1.000000
681,0.151177,1.000000
682,0.150819,1.000000
683,0.150479,1.000000
684,0.150252,1.000000
685,0.149908,1.000000
686,0.149584,1.000000
687,0.149731,1.000000
688,0.149274,1.000000
689,0.150499,1.000000
690,0.148461,1.000000
691,0.148652,1.000000
692,0.148103,1.000000
693,0.147607,1.000000
694,0.147359,1.000000
695,0.147418,1.000000
696,0.147083,1.000000
697,0.146966,1.000000
698,0.146788,1.000000
699,0.146678,1.000000
700,0.145941,1.000000
701,0.146039,1.000000
702,0.145422,1.000000
703,0.145419,1.000000
704,0.144843,1.000000
705,0.144788,1.000000
706,0.144508,1.000000
707,0.144637,1.000000
708,0.143960,1.000000
709,0.143665,1.000000
710,0.143403,1.000000
711,0.143256,1.000000
712,0.143044,1.000000
713,0.142821,1.000000
714,0.142447,1.000000
715,0.142340,1.000000
716,0.141956,1.000000
717,0.141699,1.000000
718,0.141506,1.000000
719,0.141459,1.000000
720,0.141048,1.000000
721,0.140924,1.000000
722,0.140558,1.000000
723,0.140551,1.000000
724,0.140308,1.000000
725,0.139880,1.000000
726,0.140248,1.000000
727,0.139628,1.000000
728,0.139105,1.000000
729,0.139096,1.000000
730,0.138773,1.000000
731,0.138788,1.000000
732,0.138247,1.000000
733,0.138394,1.000000
734,0.138145,1.000000
735,0.137835,1.000000
736,0.137507,1.000000
737,0.137197,1.000000
738,0.137419,1.000000
739,0.136934,1.000000
740,0.136739,1.000000
741,0.136499,1.000000
742,0.136431,1.000000
743,0.136041,1.000000
744,0.135838,1.000000
745,0.136107,1.000000
746,0.135542,1.000000
747,0.135503,1.000000
748,0.135076,1.000000
749,0.134798,1.000000
750,0.134791,1.000000
751,0.134583,1.000000
752,0.134592,1.000000
753,0.134433,1.000000
754,0.133835,1.000000
755,0.133704,1.000000
756,0.133767,1.000000
757,0.133349,1.000000
758,0.133100,1.000000
759,0.132747,1.000000
760,0.132900,1.000000
761,0.132495,1.000000
762,0.132395,1.000000
763,0.132380,1.000000
764,0.131960,1.000000
765,0.131734,1.000000
766,0.131626,1.000000
767,0.131312,1.000000
768,0.131195,1.000000
769,0.131238,1.000000
770,0.130860,1.000000
771,0.130790,1.000000
772,0.130469,1.000000
773,0.130253,1.000000
774,0.130310,1.000000
775,0.129936,1.000000
776,0.129822,1.000000
777,0.129859,1.000000
778,0.129499,1.000000
779,0.129497,1.000000
780,0.129613,1.000000
781,0.128962,1.000000
782,0.128689,1.000000
783,0.128642,1.000000
784,0.128396,1.000000
785,0.128236,1.000000
786,0.127952,1.000000
787,0.127859,1.000000
788,0.127634,1.000000
789,0.127329,1.000000
790,0.127199,1.000000
791,0.127214,1.000000
792,0.126845,1.000000
793,0.126757,1.000000
794,0.126615,1.000000
795,0.126274,1.000000
796,0.126142,1.000000
797,0.126043,1.000000
798,0.125975,1.000000
799,0.125635,1.000000
800,0.125685,1.000000
801,0.125495,1.000000
802,0.125334,1.000000
803,0.125064,1.000000
804,0.124751,1.000000
805,0.124726,1.000000
806,0.124577,1.000000
807,0.124327,1.000000
808,0.124350,1.000000
809,0.123928,1.000000
810,0.124027,1.000000
811,0.123569,1.000000
812,0.123482,1.000000
813,0.123334,1.000000
814,0.123204,1.000000
815,0.122865,1.000000
816,0.122774,1.000000
817,0.122617,1.000000
818,0.122534,1.000000
819,0.122222,1.000000
820,0.122087,1.000000
821,0.122007,1.000000
822,0.121750,1.000000
823,0.121460,1.000000
824,0.121528,1.000000
825,0.121308,1.000000
826,0.121101,1.000000
827,0.120872,1.000000
828,0.120798,1.000000
829,0.120513,1.000000
830,0.120456,1.000000
831,0.120446,1.000000
832,0.120124,1.000000
833,0.120028,1.000000
834,0.119866,1.000000
835,0.119866,1.000000
836,0.119522,1.000000
837,0.119413,1.000000
838,0.119083,1.000000
839,0.119127,1.000000
840,0.119013,1.000000
841,0.118791,1.000000
842,0.118479,1.000000
843,0.118338,1.000000
844,0.118267,1.000000
845,0.118258,1.000000
846,0.118194,1.000000
847,0.117920,1.000000
848,0.117773,1.000000
849,0.117517,1.000000
850,0.117406,1.000000
851,0.117190,1.000000
852,0.117102,1.000000
853,0.116934,1.000000
854,0.117089,1.000000
855,0.116618,1.000000
856,0.116441,1.000000
857,0.116266,1.000000
858,0.116244,1.000000
859,0.115986,1.000000
860,0.116052,1.000000
861,0.116261,1.000000
862,0.115628,1.000000
863,0.115407,1.000000
864,0.115536,1.000000
865,0.115219,1.000000
866,0.115186,1.000000
867,0.115032,1.000000
868,0.114824,1.000000
869,0.115336,1.000000
870,0.114560,1.000000
871,0.114729,1.000000
872,0.114550,1.000000
873,0.114175,1.000000
874,0.113953,1.000000
875,0.114075,1.000000
876,0.113940,1.000000
877,0.113739,1.000000
878,0.113454,1.000000
879,0.113398,1.000000
880,0.113275,1.000000
881,0.113192,1.000000
882,0.113139,1.000000
883,0.112884,1.000000
884,0.113000,1.000000
885,0.112650,1.000000
886,0.112613,1.000000
887,0.112444,1.000000
888,0.112359,1.000000
889,0.112261,1.000000
890,0.112339,1.000000
891,0.111836,1.000000
892,0.111933,1.000000
893,0.111933,1.000000
894,0.111553,1.000000
895,0.111658,1.000000
896,0.111394,1.000000
897,0.111208,1.000000
898,0.111129,1.000000
899,0.111067,1.000000
900,0.110831,1.000000
901,0.110825,1.000000
902,0.110650,1.000000
903,0.110489,1.000000
904,0.110551,1.000000
905,0.110495,1.000000
906,0.110284,1.000000
907,0.110306,1.000000
908,0.110178,1.000000
909,0.110063,1.000000
910,0.109844,1.000000
911,0.109787,1.000000
912,0.109678,1.000000
913,0.109537,1.000000
914,0.109405,1.000000
915,0.109246,1.000000
916,0.109123,1.000000
917,0.109326,1.000000
918,0.108992,1.000000
919,0.108935,1.000000
920,0.108945,1.000000
921,0.109026,1.000000
922,0.108757,1.000000
923,0.108517,1.000000
924,0.108542,1.000000
925,0.108258,1.000000
926,0.108325,1.000000
927,0.108199,1.000000
928,0.107918,1.000000
929,0.107885,1.000000
930,0.107732,1.000000
931,0.107692,1.000000
932,0.107613,1.000000
933,0.107488,1.000000
934,0.107384,1.000000
935,0.107493,1.000000
936,0.107260,1.000000
937,0.107220,1.000000
938,0.107029,1.000000
939,0.106950,1.000000
940,0.107029,1.000000
941,0.106880,1.000000
942,0.106760,1.000000
943,0.106591,1.000000
944,0.106596,1.000000
945,0.106461,1.000000
946,0.106441,1.000000
947,0.106364,1.000000
948,0.106178,1.000000
949,0.106053,1.000000
950,0.106057,1.000000
951,0.105970,1.000000
952,0.105960,1.000000
953,0.105805,1.000000
954,0.105640,1.000000
955,0.105563,1.000000
956,0.105598,1.000000
957,0.105360,1.000000
958,0.105464,1.000000
959,0.105170,1.000000
960,0.105195,1.000000
961,0.105072,1.000000
962,0.105035,1.000000
963,0.104910,1.000000
964,0.104898,1.000000
965,0.104971,1.000000
966,0.104644,1.000000
967,0.104718,1.000000
968,0.104469,1.000000
969,0.104513,1.000000
970,0.104487,1.000000
971,0.104427,1.000000
972,0.104195,1.000000
973,0.104144,1.000000
974,0.104056,1.000000
975,0.104052,1.000000
976,0.104038,1.000000
977,0.103790,1.000000
978,0.103737,1.000000
979,0.103601,1.000000
980,0.103547,1.000000
981,0.103631,1.000000
982,0.103422,1.000000
983,0.103302,1.000000
984,0.103291,1.000000
985,0.103196,1.000000
986,0.103191,1.000000
987,0.103136,1.000000
988,0.103023,1.000000
989,0.102888,1.000000
990,0.102900,1.000000
991,0.102969,1.000000
992,0.102712,1.000000
993,0.102557,1.000000
994,0.102510,1.000000
995,0.102528,1.000000
996,0.102547,1.000000
997,0.102367,1.000000
998,0.102366,1.000000
999,0.102276,1.000000
1000,0.102201,1.000000
1001,0.102141,1.000000
1002,0.102320,1.000000
1003,0.101937,1.000000
1004,0.101967,1.000000
1005,0.101962,1.000000
1006,0.101820,1.000000
1007,0.101801,1.000000
1008,0.101632,1.000000
1009,0.101661,1.000000
1010,0.101506,1.000000
1011,0.101424,1.000000
1012,0.101340,1.000000
1013,0.101408,1.000000
1014,0.101262,1.000000
1015,0.101218,1.000000
1016,0.101217,1.000000
1017,0.101225,1.000000
1018,0.100889,1.000000
1019,0.100895,1.000000
1020,0.100801,1.000000
1021,0.100777,1.000000
1022,0.100689,1.000000
1023,0.100684,1.000000
1024,0.100736,1.000000
1025,0.100511,1.000000
1026,0.100662,1.000000
1027,0.100429,1.000000
1028,0.100508,1.000000
1029,0.100391,1.000000
1030,0.100281,1.000000
1031,0.100242,1.000000
1032,0.100146,1.000000
1033,0.100047,1.000000
1034,0.100157,1.000000
1035,0.099922,1.000000
1036,0.099823,1.000000
1037,0.099781,1.000000
1038,0.099999,1.000000
1039,0.099712,1.000000
1040,0.099754,1.000000
1041,0.099578,1.000000
1042,0.099580,1.000000
1043,0.099462,1.000000
1044,0.099604,1.000000
1045,0.099439,1.000000
1046,0.099333,1.000000
1047,0.099288,1.000000
1048,0.099165,1.000000
1049,0.099278,1.000000
1050,0.099111,1.000000
1051,0.099017,1.000000
1052,0.098945,1.000000
1053,0.098985,1.000000
1054,0.099144,1.000000
1055,0.098906,1.000000
1056,0.098838,1.000000
1057,0.099004,1.000000
1058,0.098669,1.000000
1059,0.098669,1.000000
1060,0.098508,1.000000
1061,0.098594,1.000000
1062,0.098400,1.000000
1063,0.098590,1.000000
1064,0.098356,1.000000
1065,0.098398,1.000000
1066,0.098229,1.000000
1067,0.098200,1.000000
1068,0.098175,1.000000
1069,0.098261,1.000000
1070,0.098102,1.000000
1071,0.098104,1.000000
1072,0.097999,1.000000
1073,0.098008,1.000000
1074,0.098047,1.000000
1075,0.097890,1.000000
1076,0.097724,1.000000
1077,0.097720,1.000000
1078,0.097671,1.000000
1079,0.097535,1.000000
1080,0.097616,1.000000
1081,0.097570,1.000000
1082,0.097433,1.000000
1083,0.097343,1.000000
1084,0.097494,1.000000
1085,0.097408,1.000000
1086,0.097332,1.000000
1087,0.097167,1.000000
1088,0.097596,1.000000
1089,0.097162,1.000000
1090,0.097103,1.000000
1091,0.097203,1.000000
1092,0.097029,1.000000
1093,0.096999,1.000000
1094,0.097193,1.000000
1095,0.096926,1.000000
1096,0.096924,1.000000
1097,0.096801,1.000000
1098,0.096684,1.000000
1099,0.096660,1.000000
1100,0.096755,1.000000
1101,0.096564,1.000000
1102,0.096550,1.000000
1103,0.096456,1.000000
1104,0.096407,1.000000
1105,0.096539,1.000000
1106,0.096473,1.000000
1107,0.096286,1.000000
1108,0.096245,1.000000
1109,0.096365,1.000000
1110,0.096233,1.000000
1111,0.096236,1.000000
1112,0.096057,1.000000
1113,0.096078,1.000000
1114,0.096178,1.000000
1115,0.095910,1.000000
1116,0.095957,1.000000
1117,0.095914,1.000000
1118,0.095797,1.000000
1119,0.095829,1.000000
1120,0.095716,1.000000
1121,0.095806,1.000000
1122,0.095689,1.000000
1123,0.095730,1.000000
1124,0.095714,1.000000
1125,0.095518,1.000000
1126,0.095661,1.000000
1127,0.095489,1.000000
1128,0.095453,1.000000
1129,0.095335,1.000000
1130,0.095334,1.000000
1131,0.095354,1.000000
1132,0.095238,1.000000
1133,0.095326,1.000000
1134,0.095370,1.000000
1135,0.095122,1.000000
1136,0.095075,1.000000
1137,0.095103,1.000000
1138,0.095322,1.000000
1139,0.095039,1.000000
1140,0.094842,1.000000
1141,0.094808,1.000000
1142,0.094855,1.000000
1143,0.094879,1.000000
1144,0.094770,1.000000
1145,0.094734,1.000000
1146,0.094741,1.000000
1147,0.094641,1.000000
1148,0.094766,1.000000
1149,0.094591,1.000000
1150,0.094543,1.000000
