epoch,loss,accuracy
0,2.306783,0.094600
1,0.208794,0.937700
2,0.152650,0.954800
3,0.124059,0.963700
4,0.111208,0.967200
5,0.104811,0.969200
6,0.094074,0.970900
7,0.090553,0.971800
8,0.087618,0.972700
9,0.084672,0.974300
10,0.082298,0.973700
11,0.081909,0.975000
12,0.078349,0.975300
13,0.077612,0.976100
14,0.078297,0.975800
15,0.081782,0.975200
16,0.075011,0.977100
17,0.076331,0.976600
18,0.078204,0.976600
19,0.079978,0.975800
20,0.074811,0.977900
